Accession.trimmed,Gene.Symbol
O60266,ADCY3
Q8NFM4,ADCY4
O95622,ADCY5
O43306,ADCY6
P51828,ADCY7
P40145,ADCY8
O60503,ADCY9
Q96PN6,ADCYA
P35611,ADDA
P35612,ADDB
Q9UEY8,ADDG
O15204,ADEC1
Q8N7X0,ADGB
P07327,ADH1A
P00325,ADH1B
P00326,ADH1G
P08319,ADH4
P28332,ADH6
P40394,ADH7
P11766,ADHX
Q0VDE8,ADIG
Q5T7M4,ADIPL
Q15848,ADIPO
Q9Y2D8,ADIP
Q15847,ADIRF
P55263,ADK
Q7Z4H4,ADM2
C9JUS6,ADM5
P35318,ADML
Q6IQ32,ADNP2
Q9H2P0,ADNP
Q9BRR6,ADPGK
Q9NRN7,ADPPT
P54922,ADPRH
Q3LIE5,ADPRM
P08588,ADRB1
P07550,ADRB2
P13945,ADRB3
Q16186,ADRM1
P22570,ADRO
Q9Y6U3,ADSV
P12235,ADT1
P05141,ADT2
P12236,ADT3
Q9H0C2,ADT4
Q96IZ2,ADTRP
P10109,ADX
Q8IUX7,AEBP1
Q6ZN18,AEBP2
Q96SZ5,AEDO
Q6UXC1,AEGP
Q8WTP8,AEN
Q08117,AES
P55197,AF10
P55198,AF17
Q8TED9,AF1L1
Q8N4X5,AF1L2
Q13015,AF1Q
P42568,AF9
P55196,AFAD
P43652,AFAM
Q8N556,AFAP1
Q9Y6Z5,AFDDT
P51825,AFF1
P51816,AFF2
P51826,AFF3
Q9UHB7,AFF4
Q8WV93,AFG1L
Q9Y4W6,AFG32
Q6ULP2,AFTIN
Q5BKT4,AG10A
Q5I7T1,AG10B
C9J202,AG1L2
Q8TF27,AGA11
P06280,AGAL
Q9UPQ3,AGAP1
Q99490,AGAP2
Q96P47,AGAP3
Q96P64,AGAP4
A6NIR3,AGAP5
Q5VW22,AGAP6
Q5VUJ5,AGAP7
Q5VTM2,AGAP9
P52594,AGFG1
O95081,AGFG2
Q8N302,AGGF1
Q9H0P7,AGIT1
Q53H12,AGK
O95394,AGM1
Q9UL18,AGO1
Q9UKV8,AGO2
Q9H9G7,AGO3
Q9HCK5,AGO4
O95994,AGR2
Q8TD06,AGR3
Q86SQ6,AGRA1
Q96PE1,AGRA2
Q8IWK6,AGRA3
O14514,AGRB1
O60241,AGRB2
O60242,AGRB3
Q6QNK2,AGRD1
Q7Z7M1,AGRD2
Q14246,AGRE1
Q9UHX3,AGRE2
Q9BY15,AGRE3
Q86SQ3,AGRE4
Q5T601,AGRF1
Q8IZF7,AGRF2
Q8IZF5,AGRF3
Q8IZF3,AGRF4
Q8IZF2,AGRF5
Q9Y653,AGRG1
Q8IZP9,AGRG2
Q86Y34,AGRG3
Q8IZF6,AGRG4
Q8IZF4,AGRG5
Q86SQ4,AGRG6
Q96K78,AGRG7
O00468,AGRIN
O94910,AGRL1
O95490,AGRL2
Q9HAR2,AGRL3
Q9HBW9,AGRL4
O00253,AGRP
Q9BYV1,AGT2
P30556,AGTR1
P50052,AGTR2
Q5TGY3,AHDC1
Q8N157,AHI1
Q8IVF2,AHNK2
Q09666,AHNK
A9YTQ3,AHRR
P35869,AHR
O95433,AHSA1
Q719I0,AHSA2
Q9NZD4,AHSP
Q9GZX7,AICDA
Q96BJ3,AIDA
Q9BQI0,AIF1L
