Accession.trimmed,Gene.Symbol
B7Z8H1,B7Z8H1
B8YAC7,B8YAC7
E5RHF7,E5RHF7
E9PEJ6,E9PEJ6
E9PFQ4,E9PFQ4
E9PLS2,E9PLS2
E9PM17,E9PM17
E9PMC9,E9PMC9
E9PS75,E9PS75
E9PSG5,E9PSG5
E9PSI0,E9PSI0
G0WVD1,G0WVD1
G0Z8D8,G0Z8D8
G1EPE2,G1EPE2
G1EPS5,G1EPS5
G3V2F2,G3V2F2
G3V394,G3V394
G3V4D2,G3V4D2
G3V5C5,G3V5C5
Q8IVN2,Q8IVN2
B7ZLM5,B7ZLM5
E0WN90,E0WN90
E2FPU2,E2FPU2
O00371,O00371
O14794,O14794
O14856,O14856
Q1PBK6,Q1PBK6
Q59EA6,Q59EA6
Q6ZNJ0,Q6ZNJ0
Q9HBJ4,Q9HBJ4
Q9NV86,Q9NV86
Q9NY38,Q9NY38
Q9P1D1,Q9P1D1
H0Y4T2,H0Y4T2
H0YAK3,H0YAK3
H0YBY4,H0YBY4
A0A060VCY9,A0A060VCY9
B2R582,B2R582
B2R5I9,B2R5I9
B2RBJ1,B2RBJ1
B2RCY5,B2RCY5
B4DLP4,B4DLP4
F5A3L1,F5A3L1
F5GXW0,F5GXW0
F5H094,F5H094
F5H0B7,F5H0B7
F5H0C8,F5H0C8
F5H0Z7,F5H0Z7
G9LET1,G9LET1
A0A0A0MSV5,A0A0A0MSV5
E9KXS9,E9KXS9
F0VRV8,F0VRV8
F5GWV3,F5GWV3
G9LHQ3,G9LHQ3
G9LK46,G9LK46
K9J972,K9J972
V9H0U2,V9H0U2
X2J925,X2J925
A0A023I825,A0A023I825
A0A059QWC0,A0A059QWC0
A8HT81,A8HT81
A8K7L8,A8K7L8
A8K7U3,A8K7U3
A8MT40,A8MT40
B0QY86,B0QY86
E2GM61,E2GM61
F6IR07,F6IR07
F6KRQ3,F6KRQ3
H0YF23,H0YF23
I3L449,I3L449
I3L4W9,I3L4W9
I3NI32,I3NI32
Q14098,Q14098
Q53T47,Q53T47
Q5JXB8,Q5JXB8
Q6KBS5,Q6KBS5
Q8WTZ9,Q8WTZ9
A0A087WWR2,A0A087WWR2
A0A087X2D7,A0A087X2D7
D7RXV9,D7RXV9
E5RJ03,E5RJ03
H0Y394,H0Y394
H0Y9K4,H0Y9K4
H0Y9T7,H0Y9T7
H0YEW7,H0YEW7
H0YF66,H0YF66
H0YGY5,H0YGY5
H0YGY7,H0YGY7
H0YJT6,H0YJT6
H0YKW5,H0YKW5
H0YMW5,H0YMW5
H9P6L0,H9P6L0
I6S3T7,I6S3T7
I7KE75,I7KE75
M1S113,M1S113
Q5TE25,Q5TE25
Q6UWT3,Q6UWT3
Q7Z5N5,Q7Z5N5
Q96NP4,Q96NP4
S5DHW6,S5DHW6
W0GCP1,W0GCP1
X5D7T7,X5D7T7
X5DR33,X5DR33
A0A087WV39,A0A087WV39
A0A087WV68,A0A087WV68
A0A087WVE8,A0A087WVE8
A0A087WVH6,A0A087WVH6
A0A087WX15,A0A087WX15
A0A087WX92,A0A087WX92
A0A087WYN3,A0A087WYN3
D7NP85,D7NP85
D7NP94,D7NP94
D7NQZ7,D7NQZ7
D9J0B9,D9J0B9
H9T437,H9T437
I0EZ61,I0EZ61
M1FXU8,M1FXU8
Q65ZC8,Q65ZC8
Q96S08,Q96S08
Q9BYY3,Q9BYY3
Q9NWP4,Q9NWP4
V9GYC7,V9GYC7
D3U3Z9,D3U3Z9
D3WYZ7,D3WYZ7
E5RGS7,E5RGS7
Q5PY98,Q5PY98
Q6FGL0,Q6FGL0
Q6PIN8,Q6PIN8
Q9HD86,Q9HD86
Q9NSB5,Q9NSB5
A0A0A7C663,A0A0A7C663
A0A172Q3A8,A0A172Q3A8
D3VVR6,D3VVR6
H7BZ56,H7BZ56
M9QQA5,M9QQA5
M9XDU8,M9XDU8
Q0P6S6,Q0P6S6
Q53EY5,Q53EY5
Q6LBE5,Q6LBE5
Q6NZ84,Q6NZ84
Q6YL44,Q6YL44
Q8NBT6,Q8NBT6
Q8NH23,Q8NH23
A0A0A7C534,A0A0A7C534
A0A0A7C7Z8,A0A0A7C7Z8
A0A0A7C8J8,A0A0A7C8J8
A0A0A7C957,A0A0A7C957
H7BZE0,H7BZE0
Q1ADM1,Q1ADM1
Q6ZP00,Q6ZP00
F8VS45,F8VS45
F8VU91,F8VU91
F8VVS3,F8VVS3
F8VZL5,F8VZL5
F8W0S0,F8W0S0
A0A059R8Y9,A0A059R8Y9
A0A0A0PND7,A0A0A0PND7
B5MEI6,B5MEI6
J7H6U9,J7H6U9
U5GXS0,U5GXS0
A0A2P9ASW0,A0A2P9ASW0
A0A2P9AUV6,A0A2P9AUV6
A0A2P9APY1,A0A2P9APY1
A0A2P9APV9,A0A2P9APV9
A1YZ08,A1YZ08
B2RD48,B2RD48
B2XJP6,B2XJP6
B4DID6,B4DID6
G3DR79,G3DR79
M9PAC6,M9PAC6
Q8N9J6,Q8N9J6
B4DTT7,B4DTT7
B4DVG9,B4DVG9
B4DW03,B4DW03
B4DW97,B4DW97
B4XAL0,B4XAL0
G9HRP5,G9HRP5
J3QRU5,J3QRU5
K7P5S2,K7P5S2
M9P9T0,M9P9T0
M9PAE4,M9PAE4
Q5THA1,Q5THA1
Q5VWJ6,Q5VWJ6
A0A096LNK1,A0A096LNK1
E7BYD5,E7BYD5
E7EPT8,E7EPT8
E7ETM0,E7ETM0
H6SSQ2,H6SSQ2
Q5XLQ3,Q5XLQ3
Q8WY86,Q8WY86
C4P0B2,C4P0B2
D6MKV3,D6MKV3
F2VNU8,F2VNU8
F2X676,F2X676
H7C255,H7C255
H7C2Y0,H7C2Y0
H7C392,H7C392
H7C3B9,H7C3B9
H7C4L6,H7C4L6
Q29674,Q29674
Q92788,Q92788
V9H0F5,V9H0F5
A0A1B0GU75,A0A1B0GU75
A0A1B0GW97,A0A1B0GW97
B4DGK9,B4DGK9
B4DHP4,B4DHP4
C9E1G2,C9E1G2
C9J115,C9J115
C9J2C0,C9J2C0
C9JS07,C9JS07
C9JTY3,C9JTY3
H9BYR9,H9BYR9
H9M4B2,H9M4B2
Q687H3,Q687H3
Q68D58,Q68D58
Q6B7S7,Q6B7S7
B3KWI4,B3KWI4
B4DQ22,B4DQ22
B4DWB3,B4DWB3
B4E383,B4E383
C8C3Y9,C8C3Y9
C8Y200,C8Y200
C9IYD2,C9IYD2
C9J5S6,C9J5S6
C9J5W5,C9J5W5
C9JFW8,C9JFW8
C9JFX5,C9JFX5
C9JHV0,C9JHV0
C9JJ39,C9JJ39
C9JPP7,C9JPP7
D5M8C7,D5M8C7
D5M8F6,D5M8F6
H7BY55,H7BY55
H8WV98,H8WV98
A0A023W4F4,A0A023W4F4
A0A0A7C613,A0A0A7C613
A0A0A7C6M1,A0A0A7C6M1
C9J6N7,C9J6N7
C9JVC2,C9JVC2
E9LY59,E9LY59
E9PFN4,E9PFN4
G0ZDU3,G0ZDU3
G1EPP8,G1EPP8
G3V2U6,G3V2U6
G3V2V5,G3V2V5
K4MTH0,K4MTH0
K9LC36,K9LC36
P78505,P78505
Q7Z5F9,Q7Z5F9
Q8IWX4,Q8IWX4
Q9NZ46,Q9NZ46
W6AX83,W6AX83
W6E995,W6E995
A0A024R1H3,A0A024R1H3
B8ZZR0,B8ZZR0
B9EDR3,B9EDR3
E9PHN6,E9PHN6
E9PIT4,E9PIT4
E9PJE9,E9PJE9
E9PJP0,E9PJP0
E9PLI3,E9PLI3
E9PLK4,E9PLK4
E9PMM9,E9PMM9
E9PMS5,E9PMS5
E9PN43,E9PN43
E9PQ69,E9PQ69
E9PRT0,E9PRT0
E9PRU6,E9PRU6
E9PS09,E9PS09
E9PS48,E9PS48
E9PS50,E9PS50
G1EPH8,G1EPH8
G1EPX7,G1EPX7
G1EPZ6,G1EPZ6
G3V1W4,G3V1W4
G3V2V1,G3V2V1
G3V3K8,G3V3K8
G3V447,G3V447
G3V4U1,G3V4U1
M0R0X0,M0R0X0
Q59GV1,Q59GV1
Q7Z675,Q7Z675
Q8IW90,Q8IW90
X6RGJ2,X6RGJ2
B7Z2K9,B7Z2K9
D2DL39,D2DL39
D3U3L9,D3U3L9
G0WVC6,G0WVC6
L8ECI2,L8ECI2
M0QYK2,M0QYK2
M0R1G2,M0R1G2
Q9UES0,Q9UES0
R9RSM4,R9RSM4
D2DKM2,D2DKM2
H3BMX3,H3BMX3
H3BS88,H3BS88
J3KNY1,J3KNY1
Q14889,Q14889
Q9P1T1,Q9P1T1
U5IRL7,U5IRL7
U5YME5,U5YME5
U5ZAB9,U5ZAB9
A0A0C4ZLK5,A0A0C4ZLK5
A0A120N655,A0A120N655
A6Z0P9,A6Z0P9
A6Z903,A6Z903
M5EFF5,M5EFF5
O75225,O75225
Q562Q4,Q562Q4
A0A0A1IX95,A0A0A1IX95
C9WCR5,C9WCR5
I1VE19,I1VE19
Q6FHP5,Q6FHP5
S4R400,S4R400
B2RCJ8,B2RCJ8
F2VYH8,F2VYH8
H3BPY9,H3BPY9
H3BQG7,H3BQG7
J3KQP8,J3KQP8
K7ENN7,K7ENN7
O19510,O19510
A0A0C5PP83,A0A0C5PP83
A1A425,A1A425
B2R932,B2R932
E5DCL7,E5DCL7
J3KRV5,J3KRV5
J3KRY8,J3KRY8
J3KS53,J3KS53
J3KS65,J3KS65
K7EII4,K7EII4
K7EJZ7,K7EJZ7
K7EMH8,K7EMH8
K7EN44,K7EN44
K7EP25,K7EP25
K7EP60,K7EP60
Q19A87,Q19A87
Q6UY24,Q6UY24
Q9P184,Q9P184
V9HWD8,V9HWD8
A0A0A7C4P1,A0A0A7C4P1
A0A0A7C6P4,A0A0A7C6P4
B7Z2R0,B7Z2R0
B7Z945,B7Z945
B7ZBL3,B7ZBL3
B8ZZK1,B8ZZK1
B9WPM8,B9WPM8
C9E1E8,C9E1E8
C9J4P0,C9J4P0
C9J6C8,C9J6C8
C9JER6,C9JER6
C9JHW1,C9JHW1
C9JIJ6,C9JIJ6
C9JKZ2,C9JKZ2
C9JN45,C9JN45
C9JPX5,C9JPX5
C9JRR6,C9JRR6
C9JVB2,C9JVB2
E9PM79,E9PM79
E9PNQ9,E9PNQ9
E9PRD6,E9PRD6
G1ENV8,G1ENV8
G1EP57,G1EP57
G3V5Y6,G3V5Y6
K4RH57,K4RH57
Q86UU2,Q86UU2
Q86XG0,Q86XG0
Q8N204,Q8N204
Q9P1N4,Q9P1N4
A0A0A7C4T7,A0A0A7C4T7
A0A0A7C619,A0A0A7C619
A0A0A7C791,A0A0A7C791
A0A0A7C8I8,A0A0A7C8I8
A0A0A7C937,A0A0A7C937
B7Z667,B7Z667
B7ZA53,B7ZA53
E9PJ03,E9PJ03
E9PJK5,E9PJK5
E9PLF9,E9PLF9
E9PM83,E9PM83
E9PNB9,E9PNB9
E9PP78,E9PP78
E9PQQ4,E9PQQ4
G1EP84,G1EP84
G1EP89,G1EP89
G1EQD7,G1EQD7
G3V519,G3V519
H2E8T7,H2E8T7
Q5T6T6,Q5T6T6
Q9UQ64,Q9UQ64
A0A060L980,A0A060L980
B0LUY6,B0LUY6
B1PN79,B1PN79
B7Z6B5,B7Z6B5
B7Z6C9,B7Z6C9
B7Z6Q6,B7Z6Q6
C5H6L3,C5H6L3
E0X9L0,E0X9L0
E0X9R1,E0X9R1
E0Z3F0,E0Z3F0
G3V1Q4,G3V1Q4
H0YNU5,H0YNU5
Q14272,Q14272
Q16743,Q16743
Q5RLN0,Q5RLN0
Q86T62,Q86T62
Q8MH26,Q8MH26
Q96SJ9,Q96SJ9
H0YBB2,H0YBB2
H0YBZ1,H0YBZ1
H0YHL7,H0YHL7
H0YJJ7,H0YJJ7
H0YNY4,H0YNY4
L0R8E5,L0R8E5
A0A023JC58,A0A023JC58
A0A059RNK2,A0A059RNK2
A0A0A0MSJ2,A0A0A0MSJ2
A0A0A0MTM1,A0A0A0MTM1
B2RAQ9,B2RAQ9
B2RB06,B2RB06
B4DLM6,B4DLM6
C9J4G7,C9J4G7
E9KXT5,E9KXT5
E9KXZ6,E9KXZ6
F1AQP6,F1AQP6
F1AZC2,F1AZC2
F1C3G9,F1C3G9
F1T0H9,F1T0H9
F4MHP8,F4MHP8
F5GWV0,F5GWV0
F5GXZ5,F5GXZ5
F5H1F2,F5H1F2
F5H7Z5,F5H7Z5
J9JIC5,J9JIC5
Q4QYZ9,Q4QYZ9
A0A059RQJ8,A0A059RQJ8
C9JNG9,C9JNG9
A0A059S1B9,A0A059S1B9
A7X525,A7X525
A8K549,A8K549
A8K7U5,A8K7U5
A8K984,A8K984
A8MU58,A8MU58
B0QYM1,B0QYM1
B0QYZ9,B0QYZ9
B1AL11,B1AL11
B1AN92,B1AN92
E2D5R6,E2D5R6
E2D5T0,E2D5T0
E3T388,E3T388
F6R0L0,F6R0L0
F6T8T6,F6T8T6
H0Y8C3,H0Y8C3
H3BRS3,H3BRS3
I3L1Z0,I3L1Z0
I7G277,I7G277
O00717,O00717
O46852,O46852
Q2LC90,Q2LC90
Q4A1C6,Q4A1C6
Q53HW2,Q53HW2
Q5VX85,Q5VX85
Q6LCP1,Q6LCP1
Q9UES4,Q9UES4
A0A2P9AMA7,A0A2P9AMA7
H0Y932,H0Y932
H0YBV1,H0YBV1
H0YIK5,H0YIK5
H0YN86,H0YN86
I6NWH3,I6NWH3
I6RUN7,I6RUN7
I6S4P2,I6S4P2
A0A2P9AEJ4,A0A2P9AEJ4
A0A2P9AFL4,A0A2P9AFL4
A0A2P9AGK0,A0A2P9AGK0
A0A2P9AH45,A0A2P9AH45
A0A2P9AIJ1,A0A2P9AIJ1
A0A2P9AKU7,A0A2P9AKU7
A0A2P9ANW9,A0A2P9ANW9
A0A2P9APP9,A0A2P9APP9
A0A2P9AWC2,A0A2P9AWC2
A0A2R8Y4T6,A0A2R8Y4T6
B3KVU1,B3KVU1
B4DER9,B4DER9
B4DXV2,B4DXV2
C6GLZ7,C6GLZ7
D3G9I1,D3G9I1
E1U669,E1U669
Q59H14,Q59H14
Q8TBA4,Q8TBA4
Q96MJ8,Q96MJ8
Q9H021,Q9H021
V5N022,V5N022
V5NRB9,V5NRB9
B2R7D1,B2R7D1
B3KMJ4,B3KMJ4
B4DDF2,B4DDF2
B4DJ99,B4DJ99
B4DM10,B4DM10
B4DSY5,B4DSY5
B4DYC3,B4DYC3
G1UK09,G1UK09
Q27I60,Q27I60
Q4F4Q9,Q4F4Q9
Q4G0X3,Q4G0X3
Q561W4,Q561W4
A0A024R210,A0A024R210
A0A0A7C487,A0A0A7C487
A0A0A7C4K0,A0A0A7C4K0
A0A0A7C6B9,A0A0A7C6B9
A0A0A7C7L3,A0A0A7C7L3
A0A0A7C7W8,A0A0A7C7W8
E0YTN6,E0YTN6
H0YIV4,H0YIV4
Q8NB52,Q8NB52
A5LIN1,A5LIN1
B1B6Q4,B1B6Q4
B7Z5C8,B7Z5C8
B7Z6R4,B7Z6R4
B7ZAX4,B7ZAX4
B7ZL06,B7ZL06
E0WN57,E0WN57
E0X9Q8,E0X9Q8
E0YTP3,E0YTP3
E1Y3Y5,E1Y3Y5
H0Y459,H0Y459
H0YAK1,H0YAK1
H0YBI2,H0YBI2
H0YCL0,H0YCL0
H0YCQ5,H0YCQ5
H0YNT4,H0YNT4
Q8N9Z6,Q8N9Z6
B4DR82,B4DR82
F4MHM1,F4MHM1
F5H4X9,F5H4X9
H1ZZW4,H1ZZW4
A0A059RNF0,A0A059RNF0
B2R6A9,B2R6A9
B2R879,B2R879
B2RBG6,B2RBG6
B4DDS2,B4DDS2
C7E572,C7E572
C9JUY2,C9JUY2
E9KXV3,E9KXV3
F4NBK9,F4NBK9
F4NBX5,F4NBX5
F5GWR3,F5GWR3
F5H397,F5H397
F5H3F3,F5H3F3
F5H800,F5H800
A0A059QD44,A0A059QD44
A0A059RMR4,A0A059RMR4
A0A059RU01,A0A059RU01
A0A180H690,A0A180H690
A8K8Q0,A8K8Q0
E2DHB3,E2DHB3
H0YGS6,H0YGS6
I3L0W4,I3L0W4
I4EPJ1,I4EPJ1
Q53F65,Q53F65
Q53GB2,Q53GB2
Q53H26,Q53H26
Q53TI5,Q53TI5
Q9MYD4,Q9MYD4
A8K5F7,A8K5F7
A8K8T3,A8K8T3
E1XUP9,E1XUP9
E1Y6P7,E1Y6P7
E2GJN5,E2GJN5
E5RFK0,E5RFK0
F6IQI6,F6IQI6
G9HW70,G9HW70
G9I2L6,G9I2L6
H0Y3R8,H0Y3R8
H0YDH6,H0YDH6
H0YF08,H0YF08
H0YN28,H0YN28
I3L252,I3L252
I3L3G0,I3L3G0
I3L500,I3L500
I3Q6Q2,I3Q6Q2
I6PFM4,I6PFM4
I6S3U2,I6S3U2
I7A6W0,I7A6W0
Q2LDE4,Q2LDE4
Q53EN2,Q53EN2
Q59EF9,Q59EF9
Q59GW7,Q59GW7
Q5JRY5,Q5JRY5
Q5SQT3,Q5SQT3
Q67AB3,Q67AB3
Q6EVJ4,Q6EVJ4
Q8MH27,Q8MH27
Q9NZ69,Q9NZ69
B4DR62,B4DR62
C1KBJ7,C1KBJ7
D6RAD2,D6RAD2
D6RCD8,D6RCD8
D7NNS2,D7NNS2
E5RJS4,E5RJS4
E5RKA1,E5RKA1
O43696,O43696
Q49U35,Q49U35
Q49U70,Q49U70
Q53EW4,Q53EW4
Q8IXE9,Q8IXE9
Q8WZ21,Q8WZ21
Q9NPQ7,Q9NPQ7
Q9NRU0,Q9NRU0
V9GYF5,V9GYF5
V9GYF8,V9GYF8
A0A087WUQ1,A0A087WUQ1
A0A087WUV5,A0A087WUV5
A0A087WUX8,A0A087WUX8
D7NPN1,D7NPN1
E5RJM5,E5RJM5
E5RJY1,E5RJY1
M1F358,M1F358
C7C4Z8,C7C4Z8
D1CS89,D1CS89
H7BZ67,H7BZ67
Q06RK2,Q06RK2
Q0D2I8,Q0D2I8
Q59F75,Q59F75
Q5QR56,Q5QR56
Q6ZRL6,Q6ZRL6
Q8NHT3,Q8NHT3
Q96B14,Q96B14
B0AZU0,B0AZU0
C7E583,C7E583
C8C068,C8C068
D5FHL8,D5FHL8
E0D852,E0D852
E5RGH2,E5RGH2
J7GHV2,J7GHV2
Q6NVZ4,Q6NVZ4
Q6PGP6,Q6PGP6
A0A0A7C5A6,A0A0A7C5A6
A0A0A7C828,A0A0A7C828
F8VU19,F8VU19
F8VW66,F8VW66
F8W1W1,F8W1W1
H7C189,H7C189
Q6FH22,Q6FH22
Q6ZRW6,Q6ZRW6
Q71RC4,Q71RC4
R4QGI8,R4QGI8
A0A120GVW6,A0A120GVW6
F8VSJ1,F8VSJ1
F8VWW9,F8VWW9
F8VWX0,F8VWX0
F8VY00,F8VY00
F8VZ29,F8VZ29
F8W086,F8W086
Q6XMI6,Q6XMI6
Q70LR5,Q70LR5
Q71UE9,Q71UE9
Q96TB5,Q96TB5
R4QGK3,R4QGK3
R4X5Z8,R4X5Z8
A0A059QHG0,A0A059QHG0
A0A059QN30,A0A059QN30
A0A059QQL1,A0A059QQL1
A0A090MF30,A0A090MF30
B7ZW01,B7ZW01
L8EAD2,L8EAD2
B7TQM4,B7TQM4
B7Z328,B7Z328
B9VJ52,B9VJ52
D3JV38,D3JV38
D3U3V7,D3U3V7
J7K480,J7K480
L8ECQ5,L8ECQ5
M0QXA9,M0QXA9
M0R0I1,M0R0I1
M0R1T1,M0R1T1
A0A125SXV9,A0A125SXV9
D2DKM4,D2DKM4
H3BLT4,H3BLT4
H3BMR1,H3BMR1
H3BRW3,H3BRW3
H3BSB5,H3BSB5
H3BSS6,H3BSS6
H3BU81,H3BU81
H3BU93,H3BU93
O19759,O19759
Q461N2,Q461N2
Q96LK5,Q96LK5
Q9Y455,Q9Y455
R4QU36,R4QU36
T1Q526,T1Q526
U5ISA9,U5ISA9
U5XH23,U5XH23
A0A0D4WPF4,A0A0D4WPF4
A0A0D5CC39,A0A0D5CC39
A0A0E3DCG2,A0A0E3DCG2
A0A0E3DCX7,A0A0E3DCX7
A0A0E3DD86,A0A0E3DD86
A0A0E3DDT3,A0A0E3DDT3
A0A0U1RQS0,A0A0U1RQS0
A0A0E3DCG7,A0A0E3DCG7
A0A0E3DCR1,A0A0E3DCR1
A0A0F6TMQ0,A0A0F6TMQ0
A0A0S2Z5J8,A0A0S2Z5J8
A0A0S2Z5P0,A0A0S2Z5P0
A0A140VKC6,A0A140VKC6
A0A141AZK4,A0A141AZK4
A0A142J240,A0A142J240
A0A0U3BX63,A0A0U3BX63
A0A0K0KRY4,A0A0K0KRY4
A0A0K0KSZ6,A0A0K0KSZ6
A0A0U5KK83,A0A0U5KK83
A0A0S2Z4H0,A0A0S2Z4H0
A0A0S2Z5D6,A0A0S2Z5D6
A0A0S2Z5I4,A0A0S2Z5I4
A0A0S2Z5M2,A0A0S2Z5M2
D2JYI6,D2JYI6
W6S1K2,W6S1K2
D6MLK4,D6MLK4
D6RBN9,D6RBN9
D6RBV5,D6RBV5
D6RBX5,D6RBX5
D6RDV8,D6RDV8
D6RGI9,D6RGI9
D6RJC5,D6RJC5
D7RF68,D7RF68
D9N2T9,D9N2T9
F8LFW2,F8LFW2
F8RHF2,F8RHF2
F8SL05,F8SL05
F8SL06,F8SL06
F8W8P5,F8W8P5
F8WC59,F8WC59
F8WE57,F8WE57
Q4LE40,Q4LE40
Q53G42,Q53G42
Q59GU6,Q59GU6
Q67AT5,Q67AT5
Q68DN3,Q68DN3
Q6ZNG6,Q6ZNG6
Q9UEK9,Q9UEK9
V5NSW3,V5NSW3
B2RCC2,B2RCC2
F8VNV6,F8VNV6
F8W9A3,F8W9A3
M9P9M7,M9P9M7
Q5T2L0,Q5T2L0
U3RCP2,U3RCP2
B1B1G4,B1B1G4
B4DDV3,B4DDV3
B4DHF4,B4DHF4
B4DRE9,B4DRE9
B4DSI4,B4DSI4
B4DWQ9,B4DWQ9
B4DXV3,B4DXV3
B4DZ94,B4DZ94
B5BU32,B5BU32
B6ZDF2,B6ZDF2
G8ZB25,G8ZB25
M9P9F8,M9P9F8
M9P9L8,M9P9L8
Q5JRU8,Q5JRU8
A4F4K4,A4F4K4
E7EVJ3,E7EVJ3
J3QLF9,J3QLF9
J3QRH3,J3QRH3
X5C3Z9,X5C3Z9
A0A0A0MTP9,A0A0A0MTP9
A0A1B0GUE8,A0A1B0GUE8
A0A1B0GV86,A0A1B0GV86
A0A1B0GW26,A0A1B0GW26
D4HPJ7,D4HPJ7
E7CYP4,E7CYP4
E7EM55,E7EM55
E7EM70,E7EM70
E7EW25,E7EW25
E7EWI4,E7EWI4
F2VNE3,F2VNE3
F2X618,F2X618
H7C1P1,H7C1P1
Q0VG54,Q0VG54
Q2PQC5,Q2PQC5
Q75MY8,Q75MY8
B4DPE6,B4DPE6
D6ML16,D6ML16
H7BZJ4,H7BZJ4
H7C205,H7C205
H7C396,H7C396
H7C443,H7C443
H7C4M4,H7C4M4
H7C4M5,H7C4M5
H9BQ96,H9BQ96
Q8WW53,Q8WW53
U5YBP0,U5YBP0
U5YCB2,U5YCB2
U5YEL7,U5YEL7
B3KT02,B3KT02
B4DH08,B4DH08
B4DWT9,B4DWT9
B4E0W0,B4E0W0
C9J3K8,C9J3K8
C9J8Q5,C9J8Q5
C9JF98,C9JF98
D6C699,D6C699
D6MLC6,D6MLC6
F5GXW5,F5GXW5
H7BY70,H7BY70
B6ZGU2,B6ZGU2
C9EIW1,C9EIW1
C9J8J5,C9J8J5
C9J9V2,C9J9V2
C9JNM8,C9JNM8
C9JPP3,C9JPP3
C9JR83,C9JR83
C9JXC9,C9JXC9
C9JXP5,C9JXP5
Q6UW46,Q6UW46
A0A0A7C4Q8,A0A0A7C4Q8
A0A0A7C6W9,A0A0A7C6W9
A0A0A7C7U9,A0A0A7C7U9
C8CD01,C8CD01
D3VVR7,D3VVR7
E5RFU3,E5RFU3
M9P8Q7,M9P8Q7
Q0MTB9,Q0MTB9
Q6LCG8,Q6LCG8
Q6LD14,Q6LD14
Q6MZV5,Q6MZV5
Q6NVX3,Q6NVX3
Q6PKI5,Q6PKI5
Q8WY74,Q8WY74
Q96PT0,Q96PT0
Q9HBC5,Q9HBC5
Q9UPK8,Q9UPK8
A0A0A7C5E6,A0A0A7C5E6
H7BZA1,H7BZA1
L0BWY7,L0BWY7
F8R1D1,F8R1D1
F8SL08,F8SL08
F8VSC7,F8VSC7
F8VWW4,F8VWW4
Q17RV3,Q17RV3
Q6PK75,Q6PK75
Q6ZSH4,Q6ZSH4
Q6ZUG0,Q6ZUG0
Q6ZW80,Q6ZW80
Q71VN3,Q71VN3
A0A059RTA5,A0A059RTA5
B7Z7V0,B7Z7V0
J7F4Z5,J7F4Z5
J7K3I9,J7K3I9
A1YZI7,A1YZI7
A1Z5I6,A1Z5I6
B7Z2G7,B7Z2G7
B7Z2H0,B7Z2H0
B7Z9A1,B7Z9A1
D1MZT7,D1MZT7
D3JV11,D3JV11
D3U3U7,D3U3U7
L8ECD4,L8ECD4
M0QZ67,M0QZ67
M0QZH6,M0QZH6
M0QZL0,M0QZL0
M0R0B6,M0R0B6
A0A067ZWN8,A0A067ZWN8
A2TEM6,A2TEM6
H3BME5,H3BME5
H3BS01,H3BS01
H3BTZ8,H3BTZ8
H3BV57,H3BV57
M0QY20,M0QY20
Q1W4D6,Q1W4D6
Q29791,Q29791
Q75MD1,Q75MD1
Q8NH34,Q8NH34
Q9P0B4,Q9P0B4
Q9UMI6,Q9UMI6
R9QDZ0,R9QDZ0
S0F3B9,S0F3B9
T1R368,T1R368
U5YCV9,U5YCV9
U5YEV2,U5YEV2
A6NE70,A6NE70
A6NHE2,A6NHE2
E2QRC0,E2QRC0
L8E8Z0,L8E8Z0
Q502V2,Q502V2
Q53GZ6,Q53GZ6
A6NDY5,A6NDY5
A6ZGZ8,A6ZGZ8
A7E212,A7E212
A7L5K9,A7L5K9
C0M108,C0M108
Q29820,Q29820
Q305K6,Q305K6
Q571Q4,Q571Q4
L8E9A6,L8E9A6
L8EC72,L8EC72
L8ECA8,L8ECA8
Q2PEF9,Q2PEF9
Q6RAS3,Q6RAS3
Q8N2U4,Q8N2U4
A0A109NRF3,A0A109NRF3
A0SEH4,A0SEH4
K7ENY0,K7ENY0
K7EQ99,K7EQ99
A0PJ85,A0PJ85
F2VYJ0,F2VYJ0
F2Z2T0,F2Z2T0
H3BUK8,H3BUK8
H7C4K4,H7C4K4
J3KS02,J3KS02
K7EML9,K7EML9
K7EMV0,K7EMV0
K7EQW0,K7EQW0
L0R6I7,L0R6I7
O19689,O19689
O19771,O19771
Q6PJY9,Q6PJY9
Q8MGZ8,Q8MGZ8
Q9GIN1,Q9GIN1
Q9TPE1,Q9TPE1
S5U3G8,S5U3G8
S6B294,S6B294
S6BAP4,S6BAP4
A0A0B5KTB6,A0A0B5KTB6
A0A0D9SFZ2,A0A0D9SFZ2
A0A0C4DGG4,A0A0C4DGG4
A0A0J9YWK1,A0A0J9YWK1
A0A0J9YYJ1,A0A0J9YYJ1
A0A0N7A4Y9,A0A0N7A4Y9
A0A0K0KRC3,A0A0K0KRC3
C9JKZ3,C9JKZ3
C9JS54,C9JS54
C9JVG3,C9JVG3
C9JZ40,C9JZ40
A0A090KF09,A0A090KF09
A0A0A7C4T2,A0A0A7C4T2
A0A0A7C8P1,A0A0A7C8P1
A2VBY1,A2VBY1
B7Z3F9,B7Z3F9
B7Z4N2,B7Z4N2
B7Z7K3,B7Z7K3
B8ZZF2,B8ZZF2
B9EG67,B9EG67
E5RHL6,E5RHL6
E9LY05,E9LY05
E9PEK4,E9PEK4
E9PPF6,E9PPF6
G0Z8E4,G0Z8E4
G0Z8F1,G0Z8F1
G0ZDW7,G0ZDW7
G1EPL8,G1EPL8
G1EQL6,G1EQL6
G1FDV2,G1FDV2
